City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Hilo,US,76.62,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Alofi,NU,75.51,broken clouds,-19.0595,-169.9187,Taloa Heights
15,Houma,US,84.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
21,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Caravelas,BR,80.92,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
27,Uvira,CD,76.71,broken clouds,-3.4067,29.1458,Hotel Suzana
28,Diego De Almagro,CL,83.64,clear sky,-26.3667,-70.05,hotel luna del desierto
31,Pauini,BR,81.09,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
34,Kailua,US,80.08,haze,21.4022,-157.7394,Sheffield House Bed & Breakfast
51,Hithadhoo,MV,83.08,few clouds,-0.6,73.0833,Scoop Guest House
60,Praia,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
66,Atuona,PF,77.54,scattered clouds,-9.8,-139.0333,Villa Enata
68,Butaritari,KI,82.85,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
75,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
82,Basco,PH,80.17,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
84,Sao Filipe,CV,79.43,broken clouds,14.8961,-24.4956,Hotel Xaguate
90,Isangel,VU,75.58,overcast clouds,-19.55,169.2667,Tanna Lodge
94,Trincomalee,LK,81.72,overcast clouds,8.5711,81.2335,Welcombe Hotel
100,Faanui,PF,78.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Kavieng,PG,80.91,moderate rain,-2.5744,150.7967,Nusa Island Retreat
103,Chuy,UY,82.36,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
111,Dong Hoi,VN,76.26,light rain,17.4833,106.6,Nam Long Hotel
113,Garissa,KE,83.07,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
124,Guerrero Negro,MX,75.76,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
125,Boyolangu,ID,76.06,overcast clouds,-8.1181,111.8935,Yos ega cv
127,Buraydah,SA,80.92,overcast clouds,26.326,43.975,فندق راحة السلام
132,Victoria,HK,78.85,light rain,22.2855,114.1577,Mini Hotel Central
136,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
146,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
148,Luganville,VU,78.48,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
151,Marsh Harbour,BS,81.09,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
162,Inirida,CO,81.54,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
163,Gambela,ET,75.34,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
166,Labuhan,ID,80.17,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
172,Bengkulu,ID,75.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
173,Yaan,NG,79.25,overcast clouds,7.3833,8.5667,
184,Padang,ID,75.25,scattered clouds,-0.9492,100.3543,Mercure Padang
185,Sola,VU,80.89,light rain,-13.8833,167.55,Leumerus Bungalows
190,Alice Springs,AU,81.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
196,Sinnamary,GF,84.72,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
198,Bambanglipuro,ID,76.89,heavy intensity rain,-7.95,110.2833,Puri Brata
203,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
209,Namatanai,PG,79.93,light rain,-3.6667,152.4333,Seagulls Inn Namatani
212,Martapura,ID,77.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
218,Promissao,BR,80.6,overcast clouds,-21.5367,-49.8581,Recanto Monte Cristo
224,Tete,MZ,84.79,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
225,Ikom,NG,76.55,overcast clouds,5.9667,8.7063,Reho Farm & Resort
234,Vanimo,PG,79.03,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
238,Makakilo City,US,78.62,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
242,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
