City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sergiyevsk,RU,53.9413,51.165,38.7,53,100,15.26,overcast clouds
1,Pacific Grove,US,36.6177,-121.9166,70.11,70,1,3.0,clear sky
2,Cape Town,ZA,-33.9258,18.4232,70.12,66,100,4.52,overcast clouds
3,Airai,TL,-8.9266,125.4092,62.11,84,91,1.52,overcast clouds
4,Horsham,GB,51.064,-0.3272,59.65,68,40,10.36,scattered clouds
5,Punta Arenas,CL,-53.15,-70.9167,57.31,47,0,33.38,clear sky
6,Busselton,AU,-33.65,115.3333,47.05,86,23,9.37,few clouds
7,Jingcheng,CN,32.0142,120.2625,60.04,64,77,5.73,light rain
8,Ilulissat,GL,69.2167,-51.1,15.82,48,75,5.75,broken clouds
9,Mataura,NZ,-46.1927,168.8643,46.76,97,43,2.06,scattered clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,75.16,87,96,5.99,overcast clouds
11,Hilo,US,19.7297,-155.09,76.62,71,20,4.61,few clouds
12,Fairbanks,US,64.8378,-147.7164,27.61,91,90,1.01,mist
13,Portland,US,45.5234,-122.6762,57.52,88,75,1.01,broken clouds
14,Alofi,NU,-19.0595,-169.9187,75.51,69,69,19.71,broken clouds
15,Houma,US,29.5958,-90.7195,84.99,79,69,15.01,broken clouds
16,Ornskoldsvik,SE,63.2909,18.7153,38.35,100,0,6.91,clear sky
17,Saskylakh,RU,71.9167,114.0833,-12.12,100,100,2.15,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,51,10.96,broken clouds
19,Yar-Sale,RU,66.8333,70.8333,13.15,91,80,7.81,broken clouds
20,Ushuaia,AR,-54.8,-68.3,53.22,63,90,6.85,overcast clouds
21,Kapaa,US,22.0752,-159.319,75.18,89,0,5.73,clear sky
22,Jamestown,US,42.097,-79.2353,58.32,76,20,8.05,few clouds
23,Ponta Do Sol,PT,32.6667,-17.1,74.01,59,20,2.51,few clouds
24,Droitwich,GB,52.2667,-2.15,60.78,85,96,18.66,overcast clouds
25,Caravelas,BR,-17.7125,-39.2481,80.92,60,83,10.36,broken clouds
26,Broome,US,42.2506,-75.833,57.22,68,1,5.01,clear sky
27,Uvira,CD,-3.4067,29.1458,76.71,73,53,3.15,broken clouds
28,Diego De Almagro,CL,-26.3667,-70.05,83.64,12,0,13.62,clear sky
29,Bredasdorp,ZA,-34.5322,20.0403,71.28,87,100,13.33,overcast clouds
30,Norman Wells,CA,65.282,-126.8329,21.24,86,75,5.75,broken clouds
31,Pauini,BR,-7.7136,-66.9764,81.09,79,79,1.86,broken clouds
32,Kruisfontein,ZA,-34.0033,24.7314,64.89,82,100,5.77,light rain
33,Katsuura,JP,35.1333,140.3,62.62,91,100,8.81,overcast clouds
34,Kailua,US,21.4022,-157.7394,80.08,73,75,3.44,haze
35,Nikolskoye,RU,59.7035,30.7861,47.88,89,100,7.11,light rain
36,Swan Hill,AU,-35.3378,143.5544,61.47,47,58,2.57,light rain
